Item,Day,MQ3,MQ4,MQ5,MQ135,Turbidity,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Orange,1,24,45,58,88,Column 1,,,,,,,,,,,,,,,,,,,
Orange,2,33,56,68,123,,,,,,,,,,,,,,,,,,,,
Orange,3,41,76,89,132,,,,,,,,,,,,,,,,,,,,
Orange,4,51,82,108,166,,,,,,,,,,,,,,,,,,,,
Orange,5,71,97,139,201,,,,,,,,,,,,,,,,,,,,
Orange,6,89,135,168,257,,,,,,,,,,,,,,,,,,,,
Orange,7,107,144,186,297,,,,,,,,,,,,,,,,,,,,
Orange,8,123,186,201,347,,,,,,,,,,,,,,,,,,,,
Orange,9,143,215,255,360,,,,,,,,,,,,,,,,,,,,
Orange,10,168,231,290,402,,,,,,,,,,,,,,,,,,,,
Orange,11,197,273,312,482,,,,,,,,,,,,,,,,,,,,
Orange,12,243,319,361,493,,,,,,,,,,,,,,,,,,,,
Orange,13,280,347,397,589,,,,,,,,,,,,,,,,,,,,
Orange,14,283,378,455,674,,,,,,,,,,,,,,,,,,,,
Orange,15,343,414,524,667,,,,,,,,,,,,,,,,,,,,
Orange,16,371,399,486,773,,,,,,,,,,,,,,,,,,,,
Orange,17,359,446,515,838,,,,,,,,,,,,,,,,,,,,
Orange,18,373,436,571,835,,,,,,,,,,,,,,,,,,,,
Brinjal,1,26,46,59,109,,,,,,,,,,,,,,,,,,,,
Brinjal,2,35,61,75,158,,,,,,,,,,,,,,,,,,,,
Brinjal,3,47,83,94,192,,,,,,,,,,,,,,,,,,,,
Brinjal,4,69,93,132,229,,,,,,,,,,,,,,,,,,,,
Brinjal,5,78,127,155,275,,,,,,,,,,,,,,,,,,,,
Brinjal,6,103,159,183,355,,,,,,,,,,,,,,,,,,,,
Brinjal,7,121,175,209,408,,,,,,,,,,,,,,,,,,,,
Brinjal,8,156,224,261,421,,,,,,,,,,,,,,,,,,,,
Brinjal,9,179,268,327,510,,,,,,,,,,,,,,,,,,,,
Brinjal,10,214,306,352,579,,,,,,,,,,,,,,,,,,,,
Brinjal,11,258,306,373,604,,,,,,,,,,,,,,,,,,,,
Brinjal,12,269,373,459,677,,,,,,,,,,,,,,,,,,,,
Brinjal,13,325,389,476,812,,,,,,,,,,,,,,,,,,,,
Brinjal,14,336,425,493,802,,,,,,,,,,,,,,,,,,,,
Capsicum,1,34,49,73,98,,,,,,,,,,,,,,,,,,,,
Capsicum,2,45,56,94,121,,,,,,,,,,,,,,,,,,,,
Capsicum,3,50,79,105,165,,,,,,,,,,,,,,,,,,,,
Capsicum,4,65,92,122,185,,,,,,,,,,,,,,,,,,,,
Capsicum,5,78,114,159,221,,,,,,,,,,,,,,,,,,,,
Capsicum,6,95,118,189,247,,,,,,,,,,,,,,,,,,,,
Capsicum,7,112,164,217,283,,,,,,,,,,,,,,,,,,,,
Capsicum,8,131,177,235,344,,,,,,,,,,,,,,,,,,,,
Capsicum,9,143,206,288,405,,,,,,,,,,,,,,,,,,,,
Capsicum,10,171,250,295,440,,,,,,,,,,,,,,,,,,,,
Capsicum,11,224,285,336,467,,,,,,,,,,,,,,,,,,,,
Capsicum,12,242,326,370,564,,,,,,,,,,,,,,,,,,,,
Capsicum,13,278,309,437,605,,,,,,,,,,,,,,,,,,,,
Capsicum,14,273,346,477,631,,,,,,,,,,,,,,,,,,,,
Capsicum,15,313,371,494,711,,,,,,,,,,,,,,,,,,,,
Capsicum,16,327,403,557,787,,,,,,,,,,,,,,,,,,,,
Capsicum,17,347,484,537,740,,,,,,,,,,,,,,,,,,,,
Capsicum,18,403,496,614,801,,,,,,,,,,,,,,,,,,,,
Capsicum,19,409,518,641,898,,,,,,,,,,,,,,,,,,,,
Capsicum,20,414,531,674,865,,,,,,,,,,,,,,,,,,,,
Tomato,1,33,59,63,124,,,,,,,,,,,,,,,,,,,,
Tomato,2,45,74,75,147,,,,,,,,,,,,,,,,,,,,
Tomato,3,57,84,102,175,,,,,,,,,,,,,,,,,,,,
Tomato,4,78,109,133,228,,,,,,,,,,,,,,,,,,,,
Tomato,5,86,126,162,296,,,,,,,,,,,,,,,,,,,,
Tomato,6,107,157,172,304,,,,,,,,,,,,,,,,,,,,
Tomato,7,139,180,235,367,,,,,,,,,,,,,,,,,,,,
Tomato,8,162,239,252,472,,,,,,,,,,,,,,,,,,,,
Tomato,9,184,277,312,517,,,,,,,,,,,,,,,,,,,,
Tomato,10,221,303,366,563,,,,,,,,,,,,,,,,,,,,
Tomato,11,242,310,358,648,,,,,,,,,,,,,,,,,,,,
Tomato,12,280,354,439,664,,,,,,,,,,,,,,,,,,,,
Cauliflower,1,38,51,54,95,,,,,,,,,,,,,,,,,,,,
Cauliflower,2,47,58,76,121,,,,,,,,,,,,,,,,,,,,
Cauliflower,3,61,77,94,146,,,,,,,,,,,,,,,,,,,,
Cauliflower,4,84,106,117,186,,,,,,,,,,,,,,,,,,,,
Cauliflower,5,99,123,152,225,,,,,,,,,,,,,,,,,,,,
Cauliflower,6,117,154,193,286,,,,,,,,,,,,,,,,,,,,
Cauliflower,7,143,170,235,295,,,,,,,,,,,,,,,,,,,,
Cauliflower,8,168,214,246,367,,,,,,,,,,,,,,,,,,,,
Cauliflower,9,225,261,286,440,,,,,,,,,,,,,,,,,,,,
Cauliflower,10,224,274,334,438,,,,,,,,,,,,,,,,,,,,
Cauliflower,11,271,311,395,546,,,,,,,,,,,,,,,,,,,,
Cauliflower,12,288,349,438,553,,,,,,,,,,,,,,,,,,,,
Milk,1,27,43,55,102,12,,,,,,,,,,,,,,,,,,,
Milk,2,59,74,107,147,18,,,,,,,,,,,,,,,,,,,
Milk,3,97,133,168,262,32,,,,,,,,,,,,,,,,,,,
Milk,4,138,203,249,344,49,,,,,,,,,,,,,,,,,,,
Milk,5,185,267,285,481,68,,,,,,,,,,,,,,,,,,,
Milk,6,233,312,354,608,75,,,,,,,,,,,,,,,,,,,
Curd,1,30,38,72,97,12,,,,,,,,,,,,,,,,,,,
Curd,2,49,68,104,135,17,,,,,,,,,,,,,,,,,,,
Curd,3,84,102,141,187,28,,,,,,,,,,,,,,,,,,,
Curd,4,123,135,198,292,42,,,,,,,,,,,,,,,,,,,
Curd,5,166,190,233,336,60,,,,,,,,,,,,,,,,,,,
Curd,6,202,234,318,451,75,,,,,,,,,,,,,,,,,,,
Curd,7,254,289,361,513,88,,,,,,,,,,,,,,,,,,,
Potato,1,37,48,60,88,,,,,,,,,,,,,,,,,,,,
Potato,2,43,58,69,100,,,,,,,,,,,,,,,,,,,,
Potato,3,47,64,72,111,,,,,,,,,,,,,,,,,,,,
Potato,4,51,63,83,123,,,,,,,,,,,,,,,,,,,,
Potato,5,52,70,102,146,,,,,,,,,,,,,,,,,,,,
Potato,6,60,82,111,165,,,,,,,,,,,,,,,,,,,,
Potato,7,68,98,125,170,,,,,,,,,,,,,,,,,,,,
Potato,8,84,106,145,215,,,,,,,,,,,,,,,,,,,,
Potato,9,88,112,148,234,,,,,,,,,,,,,,,,,,,,
Potato,10,104,126,164,251,,,,,,,,,,,,,,,,,,,,
Potato,11,114,160,200,266,,,,,,,,,,,,,,,,,,,,
Potato,12,139,174,233,319,,,,,,,,,,,,,,,,,,,,
Potato,13,141,178,233,357,,,,,,,,,,,,,,,,,,,,
Potato,14,163,198,276,382,,,,,,,,,,,,,,,,,,,,
Potato,15,195,226,305,394,,,,,,,,,,,,,,,,,,,,
Potato,16,200,259,329,418,,,,,,,,,,,,,,,,,,,,
Potato,17,241,277,377,480,,,,,,,,,,,,,,,,,,,,
Potato,18,247,310,413,559,,,,,,,,,,,,,,,,,,,,
Potato,19,289,353,413,557,,,,,,,,,,,,,,,,,,,,
Potato,20,295,392,447,618,,,,,,,,,,,,,,,,,,,,
Potato,21,308,379,497,706,,,,,,,,,,,,,,,,,,,,
Potato,22,354,425,518,664,,,,,,,,,,,,,,,,,,,,
Potato,23,398,432,560,792,,,,,,,,,,,,,,,,,,,,
Potato,24,369,502,565,741,,,,,,,,,,,,,,,,,,,,
Potato,25,440,506,598,806,,,,,,,,,,,,,,,,,,,,
Potato,26,424,482,662,824,,,,,,,,,,,,,,,,,,,,
Potato,27,458,535,629,816,,,,,,,,,,,,,,,,,,,,
Potato,28,451,547,688,949,,,,,,,,,,,,,,,,,,,,
Papaya,1,31,49,67,127,,,,,,,,,,,,,,,,,,,,
Papaya,2,45,64,97,158,,,,,,,,,,,,,,,,,,,,
Papaya,3,71,100,119,202,,,,,,,,,,,,,,,,,,,,
Papaya,4,113,142,182,271,,,,,,,,,,,,,,,,,,,,
Papaya,5,150,194,235,320,,,,,,,,,,,,,,,,,,,,
Papaya,6,187,257,261,412,,,,,,,,,,,,,,,,,,,,
Papaya,7,216,312,324,447,,,,,,,,,,,,,,,,,,,,
Papaya,8,284,362,377,598,,,,,,,,,,,,,,,,,,,,
Papaya,9,330,412,410,617,,,,,,,,,,,,,,,,,,,,
Papaya,10,338,395,464,703,,,,,,,,,,,,,,,,,,,,
Pomegranate,1,18,30,42,76,,,,,,,,,,,,,,,,,,,,
Pomegranate,2,23,40,54,93,,,,,,,,,,,,,,,,,,,,
Pomegranate,3,29,55,71,108,,,,,,,,,,,,,,,,,,,,
Pomegranate,4,34,68,86,139,,,,,,,,,,,,,,,,,,,,
Pomegranate,5,46,85,105,155,,,,,,,,,,,,,,,,,,,,
Pomegranate,6,58,106,132,209,,,,,,,,,,,,,,,,,,,,
Pomegranate,7,67,127,155,235,,,,,,,,,,,,,,,,,,,,
Pomegranate,8,87,161,196,306,,,,,,,,,,,,,,,,,,,,
Pomegranate,9,112,187,238,342,,,,,,,,,,,,,,,,,,,,
Pomegranate,10,148,216,279,397,,,,,,,,,,,,,,,,,,,,
Pomegranate,11,180,251,332,434,,,,,,,,,,,,,,,,,,,,
Pomegranate,12,207,310,381,573,,,,,,,,,,,,,,,,,,,,
Pomegranate,13,243,318,412,640,,,,,,,,,,,,,,,,,,,,
Pomegranate,14,275,359,449,637,,,,,,,,,,,,,,,,,,,,
Pomegranate,15,289,381,490,739,,,,,,,,,,,,,,,,,,,,
Pomegranate,16,356,412,546,788,,,,,,,,,,,,,,,,,,,,
Pomegranate,17,397,450,563,907,,,,,,,,,,,,,,,,,,,,
Pomegranate,18,385,473,550,819,,,,,,,,,,,,,,,,,,,,
Guava,1,30,54,68,114,,,,,,,,,,,,,,,,,,,,
Guava,2,62,88,107,176,,,,,,,,,,,,,,,,,,,,
Guava,3,91,130,175,237,,,,,,,,,,,,,,,,,,,,
Guava,4,151,201,252,344,,,,,,,,,,,,,,,,,,,,
Guava,5,202,258,326,450,,,,,,,,,,,,,,,,,,,,
Guava,6,261,320,392,549,,,,,,,,,,,,,,,,,,,,
Guava,7,300,398,407,611,,,,,,,,,,,,,,,,,,,,
Guava,8,330,406,455,678,,,,,,,,,,,,,,,,,,,,
Apple,1,22,43,56,88,,,,,,,,,,,,,,,,,,,,
Apple,2,27,52,70,102,,,,,,,,,,,,,,,,,,,,
Apple,3,35,66,85,132,,,,,,,,,,,,,,,,,,,,
Apple,4,41,84,102,150,,,,,,,,,,,,,,,,,,,,
Apple,5,48,94,130,190,,,,,,,,,,,,,,,,,,,,
Apple,6,56,112,139,218,,,,,,,,,,,,,,,,,,,,
Apple,7,69,135,176,248,,,,,,,,,,,,,,,,,,,,
Apple,8,82,147,197,279,,,,,,,,,,,,,,,,,,,,
Apple,9,97,196,211,336,,,,,,,,,,,,,,,,,,,,
Apple,10,127,216,268,324,,,,,,,,,,,,,,,,,,,,
Apple,11,142,236,291,415,,,,,,,,,,,,,,,,,,,,
Apple,12,181,268,331,429,,,,,,,,,,,,,,,,,,,,
Apple,13,198,281,344,497,,,,,,,,,,,,,,,,,,,,
Apple,14,245,294,381,529,,,,,,,,,,,,,,,,,,,,
Apple,15,289,364,438,624,,,,,,,,,,,,,,,,,,,,
Apple,16,291,398,475,594,,,,,,,,,,,,,,,,,,,,
Apple,17,352,373,494,696,,,,,,,,,,,,,,,,,,,,
Apple,18,379,397,480,743,,,,,,,,,,,,,,,,,,,,
Apple,19,422,431,552,721,,,,,,,,,,,,,,,,,,,,
Apple,20,395,464,559,770,,,,,,,,,,,,,,,,,,,,
Apple,21,432,502,568,841,,,,,,,,,,,,,,,,,,,,
Apple,22,467,488,592,842,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
